Metric,BTC/USDT,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,100.0%,100.0%
,,
Total Return,160%,236%
CAGR% (Annual Return),94.46%,132.31%
,,
Sharpe,1.54,1.75
RoMaD,3.62,4.76
Corr to Benchmark,1.0,-0.08
Prob. Sharpe Ratio,83.19%,89.11%
Smart Sharpe,1.42,1.63
Sortino,2.45,2.88
Smart Sortino,2.27,2.67
Sortino/√2,1.73,2.04
Smart Sortino/√2,1.6,1.89
Omega,1.32,1.32
,,
Max Drawdown,-26.12%,-27.79%
Longest DD Days,234,233
Volatility (ann.),47.74%,53.61%
R^2,0.01,0.01
Information Ratio,0.01,0.01
Calmar,3.62,4.76
Skew,0.46,0.76
Kurtosis,2.66,4.62
,,
Expected Daily%,0.18%,0.23%
Expected Monthly%,5.16%,6.59%
Expected Yearly%,61.33%,83.34%
Daily Value-at-Risk,-3.9%,-4.35%
Expected Shortfall (cVaR),-3.9%,-4.35%
,,
MTD,0.0%,-1.18%
3M,6.23%,8.05%
6M,19.13%,15.71%
YTD,57.37%,71.88%
1Y,96.24%,115.19%
3Y (ann.),94.46%,132.31%
5Y (ann.),94.46%,132.31%
10Y (ann.),94.46%,132.31%
All-time (ann.),94.46%,132.31%
,,
Best Day,12.08%,14.99%
Worst Day,-8.28%,-10.24%
Best Month,44.8%,48.46%
Worst Month,-16.28%,-15.87%
Best Year,65.39%,95.57%
Worst Year,57.37%,71.88%
,,
Avg. Drawdown,-5.5%,-4.31%
Avg. Drawdown Days,22,14
Recovery Factor,4.29,5.1
Ulcer Index,0.11,0.1
Serenity Index,1.23,1.96
,,
Avg. Up Month,14.16%,14.76%
Avg. Down Month,-12.26%,-9.3%
Win Days,272.52,280.0
Loss Days,253.48,246.0
Win Days%,51.81%,53.23%
Win Month%,66.67%,73.68%
Win Quarter%,57.14%,85.71%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.08
Alpha,-,1.05
Correlation,-,-7.56%
Treynor Ratio,-,-2728.87%
