time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,Trader,32882a6362a44e04afdc1a8e0d51e240,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-04 00:00:00-05:00,Trader,32882a6362a44e04afdc1a8e0d51e240,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.583,42589.43781942079,0.0
2024-01-05 00:00:00-05:00,Trader,42f0028c8227451ebe3095b658c2d057,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-05 00:00:00-05:00,Trader,42f0028c8227451ebe3095b658c2d057,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.588,43532.17277115276,0.0
2024-01-06 00:00:00-05:00,Trader,66a92eceb895456fbef7cfcc000f63ba,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-06 00:00:00-05:00,Trader,66a92eceb895456fbef7cfcc000f63ba,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,44678.470520560906,0.0
2024-01-12 00:00:00-05:00,Trader,4dc9f9724c4148c5bfc193d0ca1c8a77,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,c3bab731e5b14e9a8a7706bb68ecfc09,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,4dc9f9724c4148c5bfc193d0ca1c8a77,XRP,buy,market,fill,1,day,0.0,1,crypto,0.602,130800.08111113445,0.0
2024-01-12 00:00:00-05:00,Trader,c3bab731e5b14e9a8a7706bb68ecfc09,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.602,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,91b3cf5a85564bb99d8349af6eb0d79f,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,23fd94f2a3f048a298d57c6b7636c008,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,91b3cf5a85564bb99d8349af6eb0d79f,XRP,sell,market,fill,1,day,0.0,1,crypto,0.576,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,23fd94f2a3f048a298d57c6b7636c008,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,41779.97090074234,0.0
2024-01-18 00:00:00-05:00,Trader,56c8e86df3ea45c282ff262a43a0e94d,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-18 00:00:00-05:00,Trader,56c8e86df3ea45c282ff262a43a0e94d,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.568,44149.52460427808,0.0
2024-01-19 00:00:00-05:00,Trader,4541f0d982074955a84e6f2b613bee5f,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-19 00:00:00-05:00,Trader,4541f0d982074955a84e6f2b613bee5f,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.552,45338.970870697034,0.0
2024-01-29 00:00:00-05:00,Trader,676df0e8b34a493e9d580eb8616490f5,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,d0ae179b687340febe886f6b50d68267,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,676df0e8b34a493e9d580eb8616490f5,XRP,buy,market,fill,1,day,0.0,1,crypto,0.524,131268.46637571746,0.0
2024-01-29 00:00:00-05:00,Trader,d0ae179b687340febe886f6b50d68267,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.524,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,c355b98a8fe8449898466259b2ba0be3,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,416d877391604f019ee3bf68edea52d0,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,c355b98a8fe8449898466259b2ba0be3,XRP,sell,market,fill,1,day,0.0,1,crypto,0.51,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,416d877391604f019ee3bf68edea52d0,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.51,48849.501695976884,0.0
2024-02-04 00:00:00-05:00,Trader,7c97ff104a1a447c94d3b1edea081310,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-04 00:00:00-05:00,Trader,7c97ff104a1a447c94d3b1edea081310,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.519,50239.70902387911,0.0
2024-02-05 00:00:00-05:00,Trader,5e64bf56ca1b448fa60378085a6df7fd,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-05 00:00:00-05:00,Trader,5e64bf56ca1b448fa60378085a6df7fd,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.503,50315.54871840848,0.0
2024-02-17 00:00:00-05:00,Trader,fc1bb7a7fe114076abc79826610c4ca9,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,d7dc78ef7a1a4b06995da75e8940740d,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,fc1bb7a7fe114076abc79826610c4ca9,XRP,buy,market,fill,1,day,0.0,1,crypto,0.565,149404.75943826447,0.0
2024-02-17 00:00:00-05:00,Trader,d7dc78ef7a1a4b06995da75e8940740d,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.565,43233.597520281764,0.0
2024-02-28 00:00:00-05:00,Trader,6f2858af5e3e46d08bf83d68393d37a7,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-28 00:00:00-05:00,Trader,6f2858af5e3e46d08bf83d68393d37a7,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.586,40515.80413444838,0.0
2024-02-29 00:00:00-05:00,Trader,057c1493a8404eb0b69bf837c94b02c3,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-29 00:00:00-05:00,Trader,057c1493a8404eb0b69bf837c94b02c3,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,40008.85183488561,0.0
2024-03-05 00:00:00-05:00,Trader,2cf4d5af034642f1a1290a61232d4fe6,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-05 00:00:00-05:00,Trader,2cf4d5af034642f1a1290a61232d4fe6,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.648,40070.4658489663,0.0
2024-03-06 00:00:00-05:00,Trader,922ae4d7431142b6a7888fd74e97a034,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-06 00:00:00-05:00,Trader,922ae4d7431142b6a7888fd74e97a034,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.593,39200.58880865682,0.0
2024-03-07 00:00:00-05:00,Trader,24263834949e4da495a8514bae49b1d8,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-07 00:00:00-05:00,Trader,24263834949e4da495a8514bae49b1d8,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.613,39788.73214857017,0.0
2024-03-12 01:00:00-04:00,Trader,7557003886514fe49436b43c665cce50,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-12 01:00:00-04:00,Trader,7557003886514fe49436b43c665cce50,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.723,41829.65427223305,0.0
2024-03-13 01:00:00-04:00,Trader,0d062378005346babce6d0ea02a617f0,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-13 01:00:00-04:00,Trader,0d062378005346babce6d0ea02a617f0,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.688,41341.00811038652,0.0
2024-03-14 01:00:00-04:00,Trader,59ccfa5a103643b6aa26c34410fecbdd,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-14 01:00:00-04:00,Trader,59ccfa5a103643b6aa26c34410fecbdd,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.69,40155.9735824989,0.0
2024-03-15 01:00:00-04:00,Trader,365a0bf122114de18ab4c3241eb88a53,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-15 01:00:00-04:00,Trader,365a0bf122114de18ab4c3241eb88a53,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.669,36900.829982678195,0.0
2024-03-16 01:00:00-04:00,Trader,7ae9061b808f45da9d4e522f343b31ed,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-16 01:00:00-04:00,Trader,7ae9061b808f45da9d4e522f343b31ed,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.634,33172.92970541317,0.0
2024-03-22 01:00:00-04:00,Trader,6b8e1bd9065d4448bbc98f3c418dc533,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
