Metric,XRP/USD,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,95.0%,96.0%
,,
Total Return,-17%,-18%
CAGR% (Annual Return),-33.05%,-35.33%
,,
Sharpe,-0.46,-0.63
RoMaD,-0.94,-1.02
Corr to Benchmark,1.0,-0.14
Prob. Sharpe Ratio,17.68%,14.92%
Smart Sharpe,-0.4,-0.55
Sortino,-0.66,-0.9
Smart Sortino,-0.57,-0.78
Sortino/√2,-0.47,-0.63
Smart Sortino/√2,-0.41,-0.55
Omega,0.9,0.9
,,
Max Drawdown,-35.13%,-34.6%
Longest DD Days,113,112
Volatility (ann.),59.81%,53.77%
R^2,0.02,0.02
Information Ratio,-0.0,-0.0
Calmar,-0.94,-1.02
Skew,0.67,0.5
Kurtosis,8.83,10.14
,,
Expected Daily%,-0.11%,-0.12%
Expected Monthly%,-2.63%,-2.86%
Expected Yearly%,-17.04%,-18.37%
Daily Value-at-Risk,-5.21%,-4.71%
Expected Shortfall (cVaR),-5.21%,-4.71%
,,
MTD,0.0%,0.42%
3M,-21.93%,-23.95%
6M,-17.04%,-18.37%
YTD,-17.04%,-18.37%
1Y,-17.04%,-18.37%
3Y (ann.),-33.05%,-35.33%
5Y (ann.),-33.05%,-35.33%
10Y (ann.),-33.05%,-35.33%
All-time (ann.),-33.05%,-35.33%
,,
Best Day,18.72%,16.99%
Worst Day,-12.43%,-12.22%
Best Month,18.97%,7.4%
Worst Month,-15.38%,-20.24%
Best Year,-17.04%,-18.37%
Worst Year,-17.04%,-18.37%
,,
Avg. Drawdown,-12.16%,-8.62%
Avg. Drawdown Days,32,26
Recovery Factor,0.3,0.39
Ulcer Index,0.22,0.21
Serenity Index,-0.06,-0.07
,,
Avg. Up Month,6.89%,5.33%
Avg. Down Month,-11.77%,-11.14%
Win Days,81.28,80.29
Loss Days,89.72,90.71
Win Days%,47.53%,46.95%
Win Month%,50.0%,57.14%
Win Quarter%,50.0%,66.67%
Win Year%,0.0%,0.0%
,,
Beta,-,-0.13
Alpha,-,-0.32
Correlation,-,-14.21%
Treynor Ratio,-,184.61%
