time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-12 00:00:00-05:00,Trader,73bdf55997a7491d9ed95d41a14445af,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,73bdf55997a7491d9ed95d41a14445af,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.602,43859.64912280702,0.0
2024-01-29 00:00:00-05:00,Trader,ddf3f6f2d3eb4b5ba43b21f027deba5b,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,ddf3f6f2d3eb4b5ba43b21f027deba5b,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.524,34390.88375143466,0.0
2024-02-17 00:00:00-05:00,Trader,fa9ab1b316214a868b7332ca02672f95,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,fa9ab1b316214a868b7332ca02672f95,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.565,25261.667337417453,0.0
2024-02-28 00:00:00-05:00,Trader,cd900c80cc484ad19ba1e0257d46cb99,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-28 00:00:00-05:00,Trader,cd900c80cc484ad19ba1e0257d46cb99,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.586,17926.573826682965,0.0
2024-02-29 00:00:00-05:00,Trader,6f88bba64a8741d8bf49983308142d91,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-29 00:00:00-05:00,Trader,6f88bba64a8741d8bf49983308142d91,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,13139.016140887941,0.0
2024-03-05 00:00:00-05:00,Trader,f56c1b8fcb08454493e1c7b1c7de4565,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-05 00:00:00-05:00,Trader,f56c1b8fcb08454493e1c7b1c7de4565,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.648,9793.33074919472,0.0
2024-03-06 00:00:00-05:00,Trader,add2f52ce5f04af68a426cfb1e93836e,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-06 00:00:00-05:00,Trader,add2f52ce5f04af68a426cfb1e93836e,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.593,6885.686056937886,0.0
2024-03-07 00:00:00-05:00,Trader,234e3164dab3484b9503c408a20de55e,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-07 00:00:00-05:00,Trader,234e3164dab3484b9503c408a20de55e,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.613,5095.736616181342,0.0
2024-03-12 01:00:00-04:00,Trader,c9c820bf1ee94b76891872b2354f180d,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
