time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,Trader,e7379d4f1c294f2582513f171cb82136,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-04 00:00:00-05:00,Trader,e7379d4f1c294f2582513f171cb82136,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.583,42589.43781942079,0.0
2024-01-05 00:00:00-05:00,Trader,08e0dc094c1b4cc6b0415f0ac515ac67,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-05 00:00:00-05:00,Trader,08e0dc094c1b4cc6b0415f0ac515ac67,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.588,32626.023329547606,0.0
2024-01-06 00:00:00-05:00,Trader,39dc1743a4e74923affa75b88f5e08aa,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-06 00:00:00-05:00,Trader,39dc1743a4e74923affa75b88f5e08aa,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,24641.83804291536,0.0
2024-01-15 00:00:00-05:00,Trader,525a0ee654cb4061a10b1b665ed7fa36,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,525a0ee654cb4061a10b1b665ed7fa36,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,18139.130781590473,0.0
2024-01-18 00:00:00-05:00,Trader,7ae133076eff410086d3e9fdb0e44ce7,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-18 00:00:00-05:00,Trader,7ae133076eff410086d3e9fdb0e44ce7,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.568,14221.605258887626,0.0
2024-01-19 00:00:00-05:00,Trader,df1a698eddb446d2bfc7974f4a419398,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-19 00:00:00-05:00,Trader,df1a698eddb446d2bfc7974f4a419398,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.552,10692.346600891618,0.0
2024-02-03 00:00:00-05:00,Trader,b6e5ba8720a3438e9712412ca5882982,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,b6e5ba8720a3438e9712412ca5882982,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.51,8364.340500890168,0.0
2024-02-04 00:00:00-05:00,Trader,b58128305a434c178f09af1a14d877ee,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-04 00:00:00-05:00,Trader,b58128305a434c178f09af1a14d877ee,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.519,6497.300210512899,0.0
2024-02-05 00:00:00-05:00,Trader,d10a48872aad4d14a1a6c3fac9b61e93,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-05 00:00:00-05:00,Trader,d10a48872aad4d14a1a6c3fac9b61e93,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.503,4805.5624580720405,0.0
2024-03-23 01:00:00-04:00,Trader,41054d8ff9e644b88d6282c6dc127941,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-23 01:00:00-04:00,Trader,41054d8ff9e644b88d6282c6dc127941,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.612,2961.6128438928577,0.0
2024-03-24 01:00:00-04:00,Trader,5bc2399c4ff54623a29e7ceb3dcf9f38,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-24 01:00:00-04:00,Trader,5bc2399c4ff54623a29e7ceb3dcf9f38,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.617,2170.9136801995037,0.0
2024-03-25 01:00:00-04:00,Trader,23e038069198475faeedd376e725ab0f,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
