time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,Trader,5f92573a2d794c87930c65fd1cf249dd,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-04 00:00:00-05:00,Trader,5f92573a2d794c87930c65fd1cf249dd,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.583,42589.43781942079,0.0
2024-01-05 00:00:00-05:00,Trader,36c278a7f22c4470a93a4028e5e75df8,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-05 00:00:00-05:00,Trader,36c278a7f22c4470a93a4028e5e75df8,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.588,43532.17277115276,0.0
2024-01-06 00:00:00-05:00,Trader,07cf5f6c0ed8410bb75534e4750320ab,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-06 00:00:00-05:00,Trader,07cf5f6c0ed8410bb75534e4750320ab,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,44678.470520560906,0.0
2024-01-12 00:00:00-05:00,Trader,f0186ab135934fb4bade77b6991698ca,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,0dcc9e48d79046f6b590ccd3696acdea,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,f0186ab135934fb4bade77b6991698ca,XRP,buy,market,fill,1,day,0.0,1,crypto,0.602,130800.08111113445,0.0
2024-01-12 00:00:00-05:00,Trader,0dcc9e48d79046f6b590ccd3696acdea,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.602,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,e3e38b798c30420b8863da89f8c978e5,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,0293d62e04bd43f3938b9cec9fa6aec2,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,e3e38b798c30420b8863da89f8c978e5,XRP,sell,market,fill,1,day,0.0,1,crypto,0.576,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,0293d62e04bd43f3938b9cec9fa6aec2,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,41779.97090074234,0.0
2024-01-18 00:00:00-05:00,Trader,dff39a9f9bf748c3ad4e9a27c7c5a029,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-18 00:00:00-05:00,Trader,dff39a9f9bf748c3ad4e9a27c7c5a029,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.568,44149.52460427808,0.0
2024-01-19 00:00:00-05:00,Trader,7190301fbd144029adac6ea1da62e882,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-19 00:00:00-05:00,Trader,7190301fbd144029adac6ea1da62e882,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.552,45338.970870697034,0.0
2024-01-29 00:00:00-05:00,Trader,e7215a3bfd6645f7a34560ccb243eda7,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,f6fc5e258a9b4932bba7f068066f050f,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,e7215a3bfd6645f7a34560ccb243eda7,XRP,buy,market,fill,1,day,0.0,1,crypto,0.524,131268.46637571746,0.0
2024-01-29 00:00:00-05:00,Trader,f6fc5e258a9b4932bba7f068066f050f,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.524,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,b091dd2ad5324f0caefdceb607d3bbfb,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,5e2baa7c27704d50b5f73b5e6aefe9ae,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,b091dd2ad5324f0caefdceb607d3bbfb,XRP,sell,market,fill,1,day,0.0,1,crypto,0.51,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,5e2baa7c27704d50b5f73b5e6aefe9ae,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.51,48849.501695976884,0.0
2024-02-04 00:00:00-05:00,Trader,15a3cee71522485381e407595bfcfa57,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-04 00:00:00-05:00,Trader,15a3cee71522485381e407595bfcfa57,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.519,50239.70902387911,0.0
2024-02-05 00:00:00-05:00,Trader,80d457ca39094186a1a7d6ab9149812d,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-05 00:00:00-05:00,Trader,80d457ca39094186a1a7d6ab9149812d,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.503,50315.54871840848,0.0
2024-02-17 00:00:00-05:00,Trader,8280082c31034d6f87c76b0277a8a0f7,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,223ccfdaaecf4d6ca74d052dcc070a81,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,8280082c31034d6f87c76b0277a8a0f7,XRP,buy,market,fill,1,day,0.0,1,crypto,0.565,149404.75943826447,0.0
2024-02-17 00:00:00-05:00,Trader,223ccfdaaecf4d6ca74d052dcc070a81,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.565,43233.597520281764,0.0
2024-02-28 00:00:00-05:00,Trader,71e7645a9c1a4525839522b8e74e0bf1,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-28 00:00:00-05:00,Trader,71e7645a9c1a4525839522b8e74e0bf1,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.586,40515.80413444838,0.0
2024-02-29 00:00:00-05:00,Trader,f7f8ebb0eca24c5781a2d3f7c5f2ddef,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-29 00:00:00-05:00,Trader,f7f8ebb0eca24c5781a2d3f7c5f2ddef,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,40008.85183488561,0.0
2024-03-05 00:00:00-05:00,Trader,537fa688c9ce436687a68ad94612f2b2,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-05 00:00:00-05:00,Trader,537fa688c9ce436687a68ad94612f2b2,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.648,40070.4658489663,0.0
2024-03-06 00:00:00-05:00,Trader,54b588549c0e432f975e344419677f0b,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-06 00:00:00-05:00,Trader,54b588549c0e432f975e344419677f0b,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.593,39200.58880865682,0.0
2024-03-07 00:00:00-05:00,Trader,57047e21e43747a28b40fb625ca32285,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-07 00:00:00-05:00,Trader,57047e21e43747a28b40fb625ca32285,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.613,39788.73214857017,0.0
2024-03-12 01:00:00-04:00,Trader,481e80070cbe4e259f70d6c6eedc1c71,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-12 01:00:00-04:00,Trader,481e80070cbe4e259f70d6c6eedc1c71,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.723,41829.65427223305,0.0
2024-03-13 01:00:00-04:00,Trader,d9346c9d598042ba9875553e955e4f75,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-13 01:00:00-04:00,Trader,d9346c9d598042ba9875553e955e4f75,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.688,41341.00811038652,0.0
2024-03-14 01:00:00-04:00,Trader,90b5e9fe92b74cd99a6f1b632620a09f,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
