time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,Trader,e22e76a9aed945c9b1cb4230bf266839,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-04 00:00:00-05:00,Trader,e22e76a9aed945c9b1cb4230bf266839,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.583,42589.43781942079,0.0
2024-01-05 00:00:00-05:00,Trader,d4619d202f1d4139bc0b2411104864aa,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-05 00:00:00-05:00,Trader,d4619d202f1d4139bc0b2411104864aa,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.588,43532.17277115276,0.0
2024-01-06 00:00:00-05:00,Trader,29f13df560d640c9a96d99edae994ace,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-06 00:00:00-05:00,Trader,29f13df560d640c9a96d99edae994ace,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,44678.470520560906,0.0
2024-01-12 00:00:00-05:00,Trader,7c16f67814c34a1195bb5a97b1761a51,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,518007b2a12b4ecfae90b6046160aded,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,7c16f67814c34a1195bb5a97b1761a51,XRP,buy,market,fill,1,day,0.0,1,crypto,0.602,130800.08111113445,0.0
2024-01-12 00:00:00-05:00,Trader,518007b2a12b4ecfae90b6046160aded,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.602,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,74983d5d24c6403394bdac41a6cd30d5,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,b8bfc268aa1947179698007d8e0d551a,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,74983d5d24c6403394bdac41a6cd30d5,XRP,sell,market,fill,1,day,0.0,1,crypto,0.576,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,b8bfc268aa1947179698007d8e0d551a,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,41779.97090074234,0.0
2024-01-18 00:00:00-05:00,Trader,4a3951906d354658a90717e06e865fd4,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-18 00:00:00-05:00,Trader,4a3951906d354658a90717e06e865fd4,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.568,44149.52460427808,0.0
2024-01-19 00:00:00-05:00,Trader,b229ec41080e4fb5b3fceed9f26a91c8,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-19 00:00:00-05:00,Trader,b229ec41080e4fb5b3fceed9f26a91c8,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.552,45338.970870697034,0.0
2024-01-29 00:00:00-05:00,Trader,b334b1e7950d410aa1574bcb6cac5053,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,b6ecbf87d5184459a5606d01b727dce7,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,b334b1e7950d410aa1574bcb6cac5053,XRP,buy,market,fill,1,day,0.0,1,crypto,0.524,131268.46637571746,0.0
2024-01-29 00:00:00-05:00,Trader,b6ecbf87d5184459a5606d01b727dce7,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.524,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,0882d3bff04d4a1f955106376d5a21f6,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,712d2dfff80b4d7cabe4815af7f46245,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,0882d3bff04d4a1f955106376d5a21f6,XRP,sell,market,fill,1,day,0.0,1,crypto,0.51,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,712d2dfff80b4d7cabe4815af7f46245,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.51,48849.501695976884,0.0
2024-02-04 00:00:00-05:00,Trader,3992d0d5a61a4c069b72e1d06114c27f,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-04 00:00:00-05:00,Trader,3992d0d5a61a4c069b72e1d06114c27f,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.519,50239.70902387911,0.0
2024-02-05 00:00:00-05:00,Trader,35a53ef741a04ae685a85c3ea88f28ae,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-05 00:00:00-05:00,Trader,35a53ef741a04ae685a85c3ea88f28ae,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.503,50315.54871840848,0.0
2024-02-17 00:00:00-05:00,Trader,6d40498690a84db58eb9ca845094c6e7,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,8fd9d9501d3b4423b17b2aefb0a86613,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,6d40498690a84db58eb9ca845094c6e7,XRP,buy,market,fill,1,day,0.0,1,crypto,0.565,149404.75943826447,0.0
2024-02-17 00:00:00-05:00,Trader,8fd9d9501d3b4423b17b2aefb0a86613,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.565,43233.597520281764,0.0
2024-02-28 00:00:00-05:00,Trader,59120b56ca02421a8a9deb5a28dfde5b,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-28 00:00:00-05:00,Trader,59120b56ca02421a8a9deb5a28dfde5b,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.586,40515.80413444838,0.0
2024-02-29 00:00:00-05:00,Trader,96da553f862e4e40a4bcd321579b3081,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-29 00:00:00-05:00,Trader,96da553f862e4e40a4bcd321579b3081,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,40008.85183488561,0.0
2024-03-05 00:00:00-05:00,Trader,39d6ead6daab404192f908c1c60ed2d3,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-05 00:00:00-05:00,Trader,39d6ead6daab404192f908c1c60ed2d3,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.648,40070.4658489663,0.0
2024-03-06 00:00:00-05:00,Trader,8762077ed4f24868a1838714aa3e00db,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-06 00:00:00-05:00,Trader,8762077ed4f24868a1838714aa3e00db,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.593,39200.58880865682,0.0
2024-03-07 00:00:00-05:00,Trader,d77486289ecd4a0fa92972e604ff63be,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-07 00:00:00-05:00,Trader,d77486289ecd4a0fa92972e604ff63be,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.613,39788.73214857017,0.0
2024-03-12 01:00:00-04:00,Trader,7f90c8300a774b15842e13ff01d73db7,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-12 01:00:00-04:00,Trader,7f90c8300a774b15842e13ff01d73db7,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.723,41829.65427223305,0.0
2024-03-13 01:00:00-04:00,Trader,5870003e2d9f40dd9a545e8a9da79aa8,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-13 01:00:00-04:00,Trader,5870003e2d9f40dd9a545e8a9da79aa8,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.688,41341.00811038652,0.0
2024-03-14 01:00:00-04:00,Trader,bdd3b29bb7674b90802ff27e507868f4,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-14 01:00:00-04:00,Trader,bdd3b29bb7674b90802ff27e507868f4,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.69,40155.9735824989,0.0
2024-03-15 01:00:00-04:00,Trader,2610b05dcef54e708e2bd8e167403f33,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-15 01:00:00-04:00,Trader,2610b05dcef54e708e2bd8e167403f33,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.669,36900.829982678195,0.0
2024-03-16 01:00:00-04:00,Trader,5a20e62754f6437bacabdbd214afa08c,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-16 01:00:00-04:00,Trader,5a20e62754f6437bacabdbd214afa08c,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.634,33172.92970541317,0.0
2024-03-22 01:00:00-04:00,Trader,9104f392803c4ef487a13f928fc3382e,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-22 01:00:00-04:00,Trader,9104f392803c4ef487a13f928fc3382e,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.64,33868.75471900733,0.0
2024-03-23 01:00:00-04:00,Trader,09c68bf0f4004d21b278a5b4e0df3dea,XRP,sell,market,new,1,day,0.0,1,crypto,,,
