time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-04 00:00:00-05:00,Trader,5e483afb85ee4002a3999522207b07d7,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-04 00:00:00-05:00,Trader,5e483afb85ee4002a3999522207b07d7,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.583,42589.43781942079,0.0
2024-01-05 00:00:00-05:00,Trader,26ffd968a7524ce2beb738377bdc9312,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-05 00:00:00-05:00,Trader,26ffd968a7524ce2beb738377bdc9312,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.588,43532.17277115276,0.0
2024-01-06 00:00:00-05:00,Trader,daa01fdb316e4cb8933ff3a6c08d5063,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-06 00:00:00-05:00,Trader,daa01fdb316e4cb8933ff3a6c08d5063,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,44678.470520560906,0.0
2024-01-12 00:00:00-05:00,Trader,87ce159f5d0c41ffad5f7cb6141d80ec,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,0de4e64627d14c42895fd3b49ce32506,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-12 00:00:00-05:00,Trader,87ce159f5d0c41ffad5f7cb6141d80ec,XRP,buy,market,fill,1,day,0.0,1,crypto,0.602,130800.08111113445,0.0
2024-01-12 00:00:00-05:00,Trader,0de4e64627d14c42895fd3b49ce32506,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.602,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,534b1c2d855f42909e67a9e55d55adca,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,ba063e6efc4440af94529641ebcbf57e,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-15 00:00:00-05:00,Trader,534b1c2d855f42909e67a9e55d55adca,XRP,sell,market,fill,1,day,0.0,1,crypto,0.576,44563.73360730553,0.0
2024-01-15 00:00:00-05:00,Trader,ba063e6efc4440af94529641ebcbf57e,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.576,41779.97090074234,0.0
2024-01-18 00:00:00-05:00,Trader,73613f01f17047f49a76041e8b490807,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-18 00:00:00-05:00,Trader,73613f01f17047f49a76041e8b490807,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.568,44149.52460427808,0.0
2024-01-19 00:00:00-05:00,Trader,d3b83d248bd041f29ce769347ae8ea0f,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-01-19 00:00:00-05:00,Trader,d3b83d248bd041f29ce769347ae8ea0f,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.552,45338.970870697034,0.0
2024-01-29 00:00:00-05:00,Trader,dc61b6da69ea42acb08a872e9cb5729b,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,5ea4398c0a374417ba720b768c7159a4,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-01-29 00:00:00-05:00,Trader,dc61b6da69ea42acb08a872e9cb5729b,XRP,buy,market,fill,1,day,0.0,1,crypto,0.524,131268.46637571746,0.0
2024-01-29 00:00:00-05:00,Trader,5ea4398c0a374417ba720b768c7159a4,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.524,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,df047e6f739e42a6a73c821c97c75888,XRP,sell,market,new,1,day,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,33d40541e84945bcabe97a83cdd50a03,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-03 00:00:00-05:00,Trader,df047e6f739e42a6a73c821c97c75888,XRP,sell,market,fill,1,day,0.0,1,crypto,0.51,46823.23765373074,0.0
2024-02-03 00:00:00-05:00,Trader,33d40541e84945bcabe97a83cdd50a03,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.51,48849.501695976884,0.0
2024-02-04 00:00:00-05:00,Trader,94ac7c9b1b124643beab0b83a5f6ac87,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-04 00:00:00-05:00,Trader,94ac7c9b1b124643beab0b83a5f6ac87,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.519,50239.70902387911,0.0
2024-02-05 00:00:00-05:00,Trader,023f6cf09aab4efda9321b63cc756b02,XRP,sell,market,new,1,gtc,0.0,1,crypto,,,
2024-02-05 00:00:00-05:00,Trader,023f6cf09aab4efda9321b63cc756b02,XRP,sell,market,fill,1,gtc,0.0,1,crypto,0.503,50315.54871840848,0.0
2024-02-17 00:00:00-05:00,Trader,0664f02c2eac490cb4a1de2d7c9415a1,XRP,buy,market,new,1,day,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,7f22d3a7a89b45e4b1687818cfc98503,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-17 00:00:00-05:00,Trader,0664f02c2eac490cb4a1de2d7c9415a1,XRP,buy,market,fill,1,day,0.0,1,crypto,0.565,149404.75943826447,0.0
2024-02-17 00:00:00-05:00,Trader,7f22d3a7a89b45e4b1687818cfc98503,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.565,43233.597520281764,0.0
2024-02-28 00:00:00-05:00,Trader,b926e912424c4abeaad6b28337da0095,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-28 00:00:00-05:00,Trader,b926e912424c4abeaad6b28337da0095,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.586,40515.80413444838,0.0
2024-02-29 00:00:00-05:00,Trader,f9eed77c2869419d829c27512e4a3dab,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-02-29 00:00:00-05:00,Trader,f9eed77c2869419d829c27512e4a3dab,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.576,40008.85183488561,0.0
2024-03-05 00:00:00-05:00,Trader,1d1a0468ef2a4778b9bb97ad83c797eb,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-05 00:00:00-05:00,Trader,1d1a0468ef2a4778b9bb97ad83c797eb,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.648,40070.4658489663,0.0
2024-03-06 00:00:00-05:00,Trader,092b3b65a8f44a41b9299743713d7a1d,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-06 00:00:00-05:00,Trader,092b3b65a8f44a41b9299743713d7a1d,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.593,39200.58880865682,0.0
2024-03-07 00:00:00-05:00,Trader,874f2fc3c6f047f3bfe261120b276584,XRP,buy,market,new,1,gtc,0.0,1,crypto,,,
2024-03-07 00:00:00-05:00,Trader,874f2fc3c6f047f3bfe261120b276584,XRP,buy,market,fill,1,gtc,0.0,1,crypto,0.613,39788.73214857017,0.0
