Metric,BTC/USD,Strategy
Risk-Free Rate,5.14%,5.14%
Time in Market,100.0%,97.0%
,,
Total Return,46%,5%
CAGR% (Annual Return),94.99%,8.53%
,,
Sharpe,1.42,0.53
RoMaD,4.03,0.2
Corr to Benchmark,1.0,-0.2
Prob. Sharpe Ratio,65.72%,37.93%
Smart Sharpe,1.27,0.48
Sortino,2.22,0.83
Smart Sortino,1.99,0.75
Sortino/√2,1.57,0.59
Smart Sortino/√2,1.41,0.53
Omega,1.11,1.11
,,
Max Drawdown,-23.59%,-42.46%
Longest DD Days,141,109
Volatility (ann.),53.35%,102.06%
R^2,0.04,0.04
Information Ratio,-0.01,-0.01
Calmar,4.03,0.2
Skew,0.33,0.94
Kurtosis,1.61,10.99
,,
Expected Daily%,0.18%,0.02%
Expected Monthly%,5.59%,0.67%
Expected Yearly%,46.31%,4.77%
Daily Value-at-Risk,-4.37%,-8.62%
Expected Shortfall (cVaR),-4.37%,-8.62%
,,
MTD,2.83%,24.14%
3M,6.65%,15.17%
6M,51.9%,3.7%
YTD,46.31%,4.77%
1Y,46.31%,4.77%
3Y (ann.),94.99%,8.53%
5Y (ann.),94.99%,8.53%
10Y (ann.),94.99%,8.53%
All-time (ann.),94.99%,8.53%
,,
Best Day,9.62%,28.85%
Worst Day,-8.42%,-26.9%
Best Month,44.94%,24.14%
Worst Month,-16.37%,-14.22%
Best Year,46.31%,4.77%
Worst Year,46.31%,4.77%
,,
Avg. Drawdown,-5.93%,-29.99%
Avg. Drawdown Days,21,68
Recovery Factor,1.96,0.8
Ulcer Index,0.1,0.24
Serenity Index,0.6,0.15
,,
Avg. Up Month,2.83%,24.14%
Avg. Down Month,-,-
Win Days,108.52,102.94
Loss Days,100.48,106.06
Win Days%,51.92%,49.25%
Win Month%,57.14%,57.14%
Win Quarter%,66.67%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.38
Alpha,-,0.89
Correlation,-,-19.67%
Treynor Ratio,-,0.96%
